formula,Property Test temperature,Property Test temperature units,Property Type of test,Property YS,Property YS units,Property Processing method
Al$_{0.6}$CoCrFeNi,,,,,,CAST
CoCr$_{0.25}$Ni,25.0,$^\circ$C,T,387.0,MPa,WROUGHT
Al$_{0.5}$CoCrCuFeNi,1000.0,$^\circ$C,C,150.0,MPa,CAST
AlCoCrFeNiTiVZr,25.0,$^\circ$C,,,,CAST
CoCrMoNbTi$_{0.4}$,25.0,$^\circ$C,C,,,CAST
CoCrFeNi,20.0,$^\circ$C,T,446.0,MPa,WROUGHT
MoNbSi$_{0.25}$TaW,200.0,$^\circ$C,,,,POWDER
HfMoNbTaTiWZr,800.0,$^\circ$C,C,1065.0,MPa,CAST
Hf$_{0.25}$Nb$_{0.5}$TiV$_{0.5}$Zr$_{0.5}$,800.0,$^\circ$C,C,195.0,MPa,CAST
HfNbTaTiZr,360.0,$^\circ$C,,,,WROUGHT
Al$_{0.5}$CoCrCuFeNi,500.0,$^\circ$C,C,421.0,MPa,CAST
HfNbTaTiZr,25.0,$^\circ$C,T,830.0,MPa,WROUGHT
Al$_{0.304}$CoCrFeNi,25.0,$^\circ$C,T,260.0,MPa,
CrMoNbTaVW,25.0,$^\circ$C,C,3410.0,MPa,POWDER
CoCrCuFe,25.0,$^\circ$C,,,,
AgAlNbTiZn,,,,,,ANNEAL
Al$_{0.9}$CoCrFeNiTi$_{0.5}$,,,,,,CAST
AlMo$_{0.5}$NbTa$_{0.5}$TiZr$_{0.5}$,1000.0,$^\circ$C,C,935.0,MPa,OTHER
AlCoCrCuFeNiTi,25.0,$^\circ$C,C,1523.0,MPa,
Co$_{0.333}$Cr$_{0.667}$Fe$_{0.667}$NiTi$_{0.2}$,,,,,,WROUGHT
AlCoCrFeMo$_{0.5}$Ni,25.0,$^\circ$C,,,,CAST
AlNbTa$_{0.5}$TiZr$_{0.5}$,25.0,$^\circ$C,C,1352.0,MPa,OTHER
AlCCoCrFeNi,25.0,$^\circ$C,C,1251.0,MPa,CAST
HfMoNbTaTiWZr,1200.0,$^\circ$C,C,703.0,MPa,CAST
FeMnNi,25.0,$^\circ$C,T,460.0,MPa,WROUGHT
AlCo$_{0.667}$Cr$_{0.667}$Cu$_{0.667}$Fe$_{0.667}$,25.0,$^\circ$C,,,,
CoCrFeNiW$_{0.2}$,25.0,$^\circ$C,C,335.0,MPa,CAST
Al$_{0.1}$CoCrFeMnNi,25.0,$^\circ$C,C,1631.0,MPa,CAST
AlCoCrFeNi,700.0,$^\circ$C,T,395.0,MPa,CAST
CoCr$_{0.588}$Fe$_{0.176}$Mo$_{0.176}$Ni,25.0,$^\circ$C,T,950.0,MPa,WROUGHT
AlNbTiVZr,600.0,$^\circ$C,C,1155.0,MPa,ANNEAL
Al$_{0.242}$Co$_{0.515}$Cr$_{0.515}$Cu$_{0.242}$Fe$_{0.515}$Ni,25.0,$^\circ$C,T,215.0,MPa,ANNEAL
AlCrCuFeNi,25.0,$^\circ$C,,,,ANNEAL
CrMoNbTaVW,25.0,$^\circ$C,C,3338.0,MPa,POWDER
HfNbTaTiZr,80.0,$^\circ$C,,,,WROUGHT
CrFeNiV$_{0.5}$W,25.0,$^\circ$C,C,,,CAST
C$_{0.1}$Hf$_{0.5}$Mo$_{0.5}$NbTiZr,25.0,$^\circ$C,C,1183.0,MPa,CAST
CrNbTiVZr,25.0,$^\circ$C,C,1298.0,MPa,OTHER
Al$_{0.242}$Co$_{0.515}$Cr$_{0.515}$Cu$_{0.242}$Fe$_{0.515}$Ni,,,,,,ANNEAL
CrMoTaTi,200.0,$^\circ$C,C,1266.0,MPa,ANNEAL
AlCr$_{0.077}$Cu$_{0.077}$Mg$_{0.077}$Si$_{0.231}$Zn$_{0.077}$,25.0,$^\circ$C,C,490.0,MPa,CAST
CoCr$_{0.556}$Fe$_{0.667}$Ni$_{0.667}$,25.0,$^\circ$C,T,299.0,MPa,WROUGHT
Co$_{0.986}$Cr$_{0.952}$Fe$_{0.933}$Mn$_{0.914}$Ni,25.0,$^\circ$C,T,1290.0,MPa,WROUGHT
Al$_{0.667}$NbTa$_{0.333}$TiZr$_{0.333}$,800.0,$^\circ$C,C,728.0,MPa,OTHER
CrCuFeMnNi,25.0,$^\circ$C,T,1170.0,MPa,WROUGHT
MoNbTi,1000.0,$^\circ$C,C,504.0,MPa,OTHER
MoNb$_{0.667}$Ti$_{0.667}$V$_{0.2}$Zr$_{0.667}$,25.0,$^\circ$C,C,1576.0,MPa,ANNEAL
Al$_{0.1}$CoCrFeNi,25.0,$^\circ$C,T,1403.0,MPa,WROUGHT
HfMo$_{0.5}$NbSi$_{0.7}$TiV$_{0.5}$,1000.0,$^\circ$C,C,673.0,MPa,CAST
CoCuFeMnNiSn$_{0.2}$,25.0,$^\circ$C,T,,,CAST
Al$_{0.05}$Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,25.0,$^\circ$C,C,354.0,MPa,CAST
AlCoCrCuFeNi,800.0,$^\circ$C,C,172.0,MPa,CAST
HfMoTaTiZr,800.0,$^\circ$C,C,1045.0,MPa,CAST
Cr$_{0.5}$FeMn$_{0.625}$Ni$_{0.375}$,600.0,$^\circ$C,C,115.0,MPa,CAST
CoFeMo$_{0.8}$NiV,25.0,$^\circ$C,,,,CAST
Al$_{0.774}$FeMn$_{0.903}$Ni$_{0.484}$Ti$_{0.026}$,,,,,,ANNEAL
AlCo$_{0.442}$Cr$_{0.558}$Fe$_{0.186}$Ni$_{0.14}$,,,,,,
Co$_{0.5}$Fe$_{0.5}$Mo$_{0.1}$NiV$_{0.25}$,800.0,$^\circ$C,T,187.0,MPa,CAST
MoNbTaTi,400.0,$^\circ$C,C,685.0,MPa,ANNEAL
Al$_{0.5}$NbTa$_{0.5}$TiZr,25.0,$^\circ$C,C,1200.0,MPa,WROUGHT
CoCrNi,,,,,,
